depth,Ed_380,Ed_443,Ed_490,Ed_555,RamsesPAR,JTan_PAR,JTan_e,JPitarch_PAR,JPitarch_e,mean_PAR,mean_uncertainty
-0.1,0.523366189,1.058059758,1.116257853,1.052666626,1301.346228,1375.32112240334,8.00687481615384,NaN,NaN,1375.32112240334,8.00687481615384
0,0.523366189,1.058059758,1.116257853,1.052666626,1301.346228,1355.50560511834,9.17158267054772,NaN,NaN,1355.50560511834,9.17158267054772
0.3,0.523366189,1.058059758,1.116257853,1.052666626,1301.346228,1299.65631400055,12.6936917568397,1274.82021520701,37.8453244782256,1287.23826460378,25.2695081175326
0.5,0.611305775,1.2235812,1.278554844,1.171022206,1396.03068,1432.83834494978,16.5094582560385,1416.24199989364,34.6517362371511,1424.54017242171,25.5805972465948
0.899999976,0.403598597,0.735067464,0.733817665,0.639525994,774.626195,774.61308234442,5.54602436769484,764.339523935983,19.4635528494393,769.476303140201,12.5047886085671
1.200000048,0.806506846,1.646262777,1.71304651,1.537848047,1793.37581,1753.92843958574,21.0335131735632,1786.0849608242,43.0029654164683,1770.00670020497,32.0182392950158
1.399999976,0.61026159,1.265847186,1.349220983,1.231877406,1392.427996,1358.86215187446,21.115182154107,1350.63906651054,32.7582531453807,1354.7506091925,26.9367176497439
1.799999952,0.54123197,1.100167465,1.157384258,1.033467273,1152.249892,1115.56890027479,18.7195095605578,1125.27212874008,20.2428628450334,1120.42051450744,19.4811862027956
2,0.726050981,1.518634771,1.599841727,1.412732485,1558.303634,1505.43117617634,21.3902495185218,1527.41543160445,33.814259185707,1516.4233038904,27.6022543521144
2.5,0.294220078,0.473281917,0.439053084,0.334545375,392.6250185,389.043987428712,4.72666688822879,387.137448758608,7.77093938247722,388.09071809366,6.24880313535301
2.799999952,0.503867638,1.009343473,1.050263044,0.878351501,918.0224846,913.632152990697,17.4108232901733,920.870629189462,18.0102309539091,917.25139109008,17.7105271220412
3.299999952,0.31641022,0.560317598,0.549621852,0.433300865,477.3696099,463.643108581747,4.70407702543918,464.734404916428,8.72107315978015,464.188756749087,6.71257509260966
3.5,0.298505693,0.513492214,0.49139615,0.368118149,408.3915153,404.745901928835,4.23560441421083,405.081571768371,7.6311419796527,404.913736848603,5.93337319693176
3.900000095,0.534232981,1.080426584,1.119832536,0.902350655,924.3904078,906.116918672448,16.3892227770974,919.486683458021,18.0072480996754,912.801801065234,17.1982354383864
4.199999809,0.454452679,0.900133176,0.923920757,0.73181504,753.277729,736.119523679342,7.68538224761542,743.504326787719,16.0413662282202,739.811925233531,11.8633742379178
4.599999905,0.515389033,1.016049875,1.030637105,0.788558965,811.2257946,799.322142936415,14.5157252617333,809.438772838012,18.1295394118765,804.380457887214,16.3226323368049
4.900000095,0.696477541,1.496903075,1.578811074,1.238028721,1227.764669,1204.79872609888,13.7597380926863,1232.28964896546,27.980885524691,1218.54418753217,20.8703118086886
5.5,0.405872259,0.816747974,0.838391757,0.629440573,637.9969302,624.856379839571,5.10779134983763,631.970782293322,14.5918738534717,628.413581066446,9.84983260165468
5.800000191,0.463917044,0.945078376,0.973940872,0.717553118,720.0787418,712.897858275469,11.6974611261859,721.068021060985,16.8732755441861,716.982939668227,14.285368335186
6.300000191,0.506094456,1.039270104,1.068288233,0.770528591,774.7078362,766.62089636627,10.579419529257,775.971740303139,17.2119970549574,771.296318334705,13.8957082921072
6.699999809,0.507574063,1.061516595,1.097841363,0.784181526,785.2577338,776.118327979072,9.68951390825378,785.831667154698,16.1297556329562,780.974997566885,12.909634770605
7.199999809,0.484799175,1.008928248,1.039568726,0.740476324,744.4487657,729.194800571341,8.70742084910873,739.830082182972,15.0650771672307,734.512441377157,11.8862490081697
7.599999905,0.50412247,1.074775217,1.114641143,0.76898146,771.9160386,764.158985087714,8.07805304654232,774.475918956316,15.7460248957296,769.317452022015,11.9120389711359
8.100000381,0.408631621,0.840646982,0.86162977,0.584756213,594.9202841,586.912206720033,7.3223220508469,592.728916436799,12.2332770396193,589.820561578416,9.7777995452331
8.5,0.557958411,1.213996223,1.260964898,0.829228956,841.8019761,837.584678564755,6.82322642376489,847.783710322466,17.6814152507742,842.684194443611,12.2523208372695
9,0.513434652,1.107523109,1.147254568,0.753456254,766.7781955,759.005152865385,6.19319210862181,768.910253095504,16.1368250347299,763.957702980445,11.1650085716759
9.399999619,0.422271523,0.880900078,0.897344343,0.561289935,589.0284925,585.800397369796,5.7945635424323,589.160451127794,12.4230100825797,587.480424248795,9.10878681250601
10,0.351459464,0.678691853,0.662897274,0.38435666,429.6669138,428.663713761324,2.62301868910828,427.33095239981,9.05678371116812,427.997333080567,5.8399012001382
10.60000038,0.424138978,0.890997687,0.90827292,0.561543746,591.5912314,584.816591740603,4.75998303829112,590.330689716358,12.5684532607075,587.57364072848,8.66421814949932
11,0.393633306,0.826879735,0.837788967,0.487810124,530.6711925,528.564141569819,4.46147106510712,529.964805470272,11.1982324053946,529.264473520045,7.82985173525088
11.5,0.399434165,0.842780035,0.854608757,0.501530426,543.1478588,538.717003538551,4.1967684605604,542.11798682106,11.3365882391129,540.417495179806,7.76667834983663
11.89999962,0.472271622,1.049383386,1.081650363,0.612426582,668.9133012,666.505806147816,3.98780483785979,669.324512443179,13.8842074389333,667.915159295497,8.93600613839656
12.5,0.38827057,0.817347344,0.822550684,0.456722803,511.9706169,508.625493269486,3.63523597060558,510.474594777109,9.92923502820009,509.550044023297,6.78223549940283
12.89999962,0.436736482,0.97403726,1.004654686,0.560188472,616.7971268,613.147895329185,3.39787032234754,617.363221866817,11.4725363328111,615.255558598001,7.43520332757933
13.30000019,0.443959461,1.001347988,1.036508284,0.575588409,634.0582258,629.578470229264,3.22396053467599,634.859209724221,11.2635191698281,632.218839976742,7.24373985225203
13.80000019,0.404503018,0.897304043,0.922591798,0.50479688,563.2210116,558.826036758981,3.03340117359195,563.493537087826,9.69969746123611,561.159786923404,6.36654931741403
14.30000019,0.385241919,0.855282659,0.875928045,0.464635439,529.077369,525.640352449685,2.9272400752537,529.002466085733,8.8914635832788,527.321409267709,5.90935182926625
14.80000019,0.415470506,0.940963969,0.967690544,0.494559742,574.7504424,572.148403119293,2.87591166324854,574.3421639844,9.42862974455527,573.245283551846,6.15227070390191
15.19999981,0.331096416,0.700578094,0.694849243,0.332243038,411.7963803,410.496954812742,2.7923079150475,408.980215097324,6.51047243836689,409.738584955033,4.65139017670719
15.80000019,0.459535052,1.073859474,1.111514969,0.550861005,650.2152688,647.134501173982,2.62046820725672,650.589121793015,9.65298873875239,648.861811483499,6.13672847300456
16.20000076,0.348518687,0.752339307,0.749685524,0.34787258,438.6167138,437.077447624439,2.50338920188664,436.107146528628,6.16607158848216,436.592297076534,4.3347303951844
16.79999924,0.374694035,0.844301622,0.857280213,0.405140423,499.0064461,496.478287877701,2.33705831608272,498.129304793772,6.53693250783445,497.303796335737,4.43699541195858
17.20000076,0.340160427,0.751797816,0.755763604,0.346998309,438.3967203,436.38025454657,2.24802037297027,436.90784890755,5.4189604905663,436.64405172706,3.83349043176829
17.79999924,0.339981168,0.759750602,0.762970839,0.335008718,436.6772262,435.158993882249,2.15743801140847,434.379600360374,4.92533547292166,434.769297121312,3.54138674216506
